Band,Name,N,DN_column,Reflectance_column,Source_reflectance_unit,ModelType,IsBest,Coefficients_percent_scale,Equation_ratio_scale,R2,Adjusted_R2,RMSE_percent,Error
Band 1,蓝光 Blue,11,B_DN,B_反射率,0–1,linear,,0.071546991754;-16.088393203520,y = 0.0007154699x - 0.160883932,0.83811650,0.82012944,5.56419747,
Band 1,蓝光 Blue,11,B_DN,B_反射率,0–1,quadratic,,0.000015204522;0.055850235597;-12.581154185303,y = 0.000000152x² + 0.0005585024x - 0.1258115419,0.83903803,0.79879753,5.54833760,
Band 1,蓝光 Blue,11,B_DN,B_反射率,0–1,cubic,YES,0.000000074396;-0.000101427690;0.112316768399;-20.954237224682,y = 0.0000000007x³ - 0.0000010143x² + 0.0011231677x - 0.2095423722,0.83940478,0.77057826,5.54201298,
Band 1,蓝光 Blue,11,B_DN,B_反射率,0–1,exponential,,1.200077166582;0.004815308984,y = 0.0120007717 * e^(0.004815309x),0.66250039,0.62500043,8.03411185,
Band 1,蓝光 Blue,11,B_DN,B_反射率,0–1,logarithmic,,33.020492534827;-183.219665747531,y = 0.3302049253 * ln(x) - 1.8321966575,0.80700914,0.78556571,6.07532632,
Band 1,蓝光 Blue,11,B_DN,B_反射率,0–1,power,,0.000009356097;2.307451236314,y = 0.0000000936 * x^2.3074512363,0.80480791,0.78311990,6.10987519,
Band 2,绿光 Green,11,G_DN,G_反射率,0–1,linear,,0.071125136663;-29.404756381214,y = 0.0007112514x - 0.2940475638,0.85808151,0.84231279,5.53983095,
Band 2,绿光 Green,11,G_DN,G_反射率,0–1,quadratic,,0.000051493913;-0.006489852817;-2.321371454647,y = 0.0000005149x² - 0.0000648985x - 0.0232137145,0.87063157,0.83828947,5.28921443,
Band 2,绿光 Green,11,G_DN,G_反射率,0–1,cubic,YES,-0.000000102689;0.000287339367;-0.179821921388;38.365235440607,y = - 0.000000001x³ + 0.0000028734x² - 0.0017982192x + 0.3836523544,0.87178419,0.81683456,5.26559940,
Band 2,绿光 Green,11,G_DN,G_反射率,0–1,exponential,,1.229243981562;0.003580297955,y = 0.0122924398 * e^(0.003580298x),0.82839061,0.80932290,6.09182689,
Band 2,绿光 Green,11,G_DN,G_反射率,0–1,logarithmic,,50.012398446558;-305.386150162684,y = 0.5001239845 * ln(x) - 3.0538615016,0.82258781,0.80287535,6.19396511,
Band 2,绿光 Green,11,G_DN,G_反射率,0–1,power,,0.000000853374;2.561943870820,y = 0.0000000085 * x^2.5619438708,0.86303333,0.84781482,5.44232496,
Band 3,红光 Red,11,R_DN,R_反射率,0–1,linear,,0.104750461215;-48.956893377433,y = 0.0010475046x - 0.4895689338,0.88549206,0.87276896,5.29124497,
Band 3,红光 Red,11,R_DN,R_反射率,0–1,quadratic,,0.000072164505;0.002955834268;-14.703054643454,y = 0.0000007216x² + 0.0000295583x - 0.1470305464,0.89192027,0.86490034,5.14058073,
Band 3,红光 Red,11,R_DN,R_反射率,0–1,cubic,YES,-0.000000179700;0.000458082991;-0.266403781940;46.371897351116,y = - 0.0000000018x³ + 0.0000045808x² - 0.0026640378x + 0.4637189735,0.89241339,0.84630484,5.12884029,
Band 3,红光 Red,11,R_DN,R_反射率,0–1,exponential,,0.388067958170;0.005446919280,y = 0.0038806796 * e^(0.0054469193x),0.79266218,0.76962464,7.11998916,
Band 3,红光 Red,11,R_DN,R_反射率,0–1,logarithmic,,70.904561489766;-438.573692996457,y = 0.7090456149 * ln(x) - 4.38573693,0.86500477,0.85000530,5.74512225,
Band 3,红光 Red,11,R_DN,R_反射率,0–1,power,,0.000000000384;3.760246384426,y = 0 * x^3.7602463844,0.85995762,0.84439735,5.85153504,
Band 4,近红外 NIR,11,NIR_DN,NIR_反射率,0–1,linear,,0.167883299851;-55.248253854156,y = 0.001678833x - 0.5524825385,0.61507232,0.57230257,10.59466481,
Band 4,近红外 NIR,11,NIR_DN,NIR_反射率,0–1,quadratic,,0.000615014983;-0.462215892710;101.955368021536,y = 0.0000061501x² - 0.0046221589x + 1.0195536802,0.66391822,0.57989778,9.89965663,
Band 4,近红外 NIR,11,NIR_DN,NIR_反射率,0–1,cubic,YES,-0.000007316061;0.012000536533;-6.274407725373;1075.012763902453,y = - 0.0000000732x³ + 0.0001200054x² - 0.0627440773x + 10.750127639,0.70273375,0.57533393,9.31044528,
Band 4,近红外 NIR,11,NIR_DN,NIR_反射率,0–1,exponential,,0.690818864346;0.006909461126,y = 0.0069081886 * e^(0.0069094611x),0.61436875,0.57152084,10.60434276,
Band 4,近红外 NIR,11,NIR_DN,NIR_反射率,0–1,logarithmic,,82.202540886444;-481.130817563916,y = 0.8220254089 * ln(x) - 4.8113081756,0.58366791,0.53740879,11.01837605,
Band 4,近红外 NIR,11,NIR_DN,NIR_反射率,0–1,power,,0.000000014907;3.403171521681,y = 0.0000000001 * x^3.4031715217,0.61621020,0.57356689,10.57899375,
